name,id,year,runtime,certificate,poster_link,metascore,director,stars,gross,genres,imdb_rating
Toy Story,tt0114709,1995,81 min,Livre,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UY209_CR0,0,140,209_AL_.jpg",96,[],"['John Lasseter', 'Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']",,[],8.3
Toy Story 2,tt0120363,1999,92 min,Livre,"https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UY209_CR1,0,140,209_AL_.jpg",88,[],"['John Lasseter', 'Ash Brannon', 'Lee Unkrich', 'Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Kelsey Grammer']",,[],7.9
Up: Altas Aventuras,tt1049413,2009,96 min,Livre,"https://m.media-amazon.com/images/M/MV5BYjBkM2RjMzItM2M3Ni00N2NjLWE3NzMtMGY4MzE4MDAzMTRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR0,0,140,209_AL_.jpg",88,[],"['Pete Docter', 'Bob Peterson', 'Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']",,[],8.3
"Mogli, o Menino Lobo",tt0061852,1967,78 min,Livre,"https://m.media-amazon.com/images/M/MV5BMjAwMTExODExNl5BMl5BanBnXkFtZTgwMjM2MDgyMTE@._V1_UY209_CR1,0,140,209_AL_.jpg",65,[],"['Wolfgang Reitherman', 'Phil Harris', 'Sebastian Cabot', 'Louis Prima', 'Bruce Reitherman']",,[],7.6
Toy Story 3,tt0435761,2010,103 min,Livre,"https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_UY209_CR4,0,140,209_AL_.jpg",92,[],"['Lee Unkrich', 'Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty']",,[],8.3
Valsa com Bashir,tt1185616,2008,90 min,16,"https://m.media-amazon.com/images/M/MV5BNjM2OTI3NzQyNl5BMl5BanBnXkFtZTcwNjkzNzQ5MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",91,[],"['Ari Folman', 'Ari Folman', 'Ron Ben-Yishai', 'Ronny Dayag', 'Ori Sivan']",,[],8
"South Park: Maior, Melhor e Sem Cortes",tt0158983,1999,81 min,14,"https://m.media-amazon.com/images/M/MV5BOGE0ZWI0YzAtY2NkZi00YjkyLWIzYWEtNTJmMzJjODllNjdjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg",73,[],"['Trey Parker', 'Trey Parker', 'Matt Stone', 'Mary Kay Bergman', 'Isaac Hayes']",,[],7.7
Procurando Nemo,tt0266543,2003,100 min,Livre,"https://m.media-amazon.com/images/M/MV5BZjMxYzBiNjUtZDliNC00MDAyLTg3N2QtOWNjNmNhZGQzNDg5XkEyXkFqcGdeQXVyNjE2MjQwNjc@._V1_UY209_CR1,0,140,209_AL_.jpg",90,[],"['Andrew Stanton', 'Lee Unkrich', 'Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",,[],8.2
O Fantástico Sr. Raposo,tt0432283,2009,87 min,10,"https://m.media-amazon.com/images/M/MV5BOGUwYTU4NGEtNDM4MS00NDRjLTkwNmQtOTkwMWMyMjhmMjdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",83,[],"['Wes Anderson', 'George Clooney', 'Meryl Streep', 'Bill Murray', 'Jason Schwartzman']",,[],7.9
WALL·E,tt0910970,2008,98 min,Livre,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",95,[],"['Andrew Stanton', 'Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']",,[],8.4
